"ID","propertyCode","propertyName","propertyAddress","propertyCity","propertyState","propertyZip","propertyPhone","propertyFax","propertyEmail","propertyImage","propertyURL","propertyStatus","propertyPriceRange","propertyUnitType","propertySpecial","propertyMercial","propertyDescription","propertyHours","propertyPetPolicy","propertyDirections","propertyTheme","validation"
89,"69OAK","Oak Hollow","4407 Oak Hollow Drive","Sacramento","CA","95842","(916) 344-1168","(916) 344-1191","oakhollow@amcllc.net","oak hollow.jpg","http://www.oakhollowamc.com","Active","$699-$799","1-2 Bedrooms","$599 Moves you In!","","Oak Hollow, located in beautiful Sacramento, CA., offers the area&rsquo;s largest 1 &amp; 2 bedroom apartments. Some of our interior features include fully equipped kitchens with gas ranges, generous closet space, light colored interiors, and handicap accessible apartments. Our exterior features include two sparkling pools &amp; spas, ample parking, large garden patios/balconies, and central laundry facilities. We are conveniently located minutes from light rail, freeways &amp; shopping.","Mon-Fri 9:00 to 6:00 <br />Sat 10:00 to 4:00 <br />Sun 10:00 to 4:00","SMALL Dogs and Cats Welcome! proof of spray/neuter. $300 Deposit each ","From I-80 take the Madison Ave. exit going west. Turn right on Hillsdale and left on Wallerga. Turn right onto Oakhollow Dr. Look for us on the right.","Sage_Theme.css",""
99,"90WCA","Willow Creek","2020 E Broadway Rd.","Tempe","AZ","85282","(480) 968-4924","(480) 968-0458","willowcreek@amcllc.net","willowcreek.jpg","http://www.willowcreekamc.com","Active","$509-$799","","2 BEDROOMS at 1 BEDROOM PRICING!! HURRY FAST!! CALL TODAY!!","","<p>Welcome to Willow Creek Apartments. Attention to detail is evident the moment you enter the community. Willow Creek Apartments is serviced by a team of management professionals dedicated to making your life in your new home as pleasant and carefree as possible. Our reputation is built on broad experience, uncompromised quality, innovative style and customer responsiveness rivaled by none. This is our commitment to you.</p><p>We have BRAND NEW WASHERS and DRYERS in our apartment homes!</p>","M-F: 9:00 AM - 6:00 PM <br />Sat: 10:00 AM - 5:00 PM <br />Sun: 10:00 AM - 5:00 PM","<span class=""subhead"">Pet Restrictions:</span>&nbsp;65 pounds maximum pet weight limit. Pet fee of $300. Pet rent $25 per month per unit. Two pets maximum. No Breed Restrictions.","Please call the Willow Creek Apartments leasing office for directions.","Tan_Theme.css",""
66,"43CC1","Crystal Creek","3001 Warm Springs Rd","Henderson","NV","89014","(702) 451-8144","(702) 451-2258","crystalcreek@amcllc.net","crystalcreek.jpg","http://www.crystalcreekapts.com","Active","$650 - $1,100","1x1, 2x2 & 3x2","Huge Discounted Rents & Waived Deposit OAC!!!","","Crystal Creek Apartment Homes offers spacious 1, 2 and 3 bedroom apartments professionally managed by AMC. Our trained people are what create that special sense of community... The warmth and graciousness that make an apartment a true home. We welcome you home to Crystal Creek, the lifestyle of spacious comfortable living and friendly attentive managment services. Your new apartment home awaits you at Crystal Creek.","Monday - Friday 9am 6pm<br />Saturday - Sunday 9am 5pm","Pets excepted. Call for Details","Go South on Las Vegas Blvd., turn East (r) on Warm Springs, corner of<br />Warm Springs and Green Valley Parkway.","Sage_Theme.css",""
97,"110RP1","Regis Place","4703 West 52nd Ave.","Denver","CO","80212","(303) 477-3905","(303) 477-1707","regisplace@amcllc.net","regisplace.jpg","http://www.regisplaceapts.com","Active","$905-$1390","2-4 Bedrooms","Special $805 2x1SM & $1199 4x2TH","","<font face=""Arial"" size=""1"" color=""#333333""><p align=""left"">Newer apartment homes! Looking for a quick and easy commute? Look no further! Stop by and you&rsquo;ll know you&rsquo;ve found a home at Regis Place Apartments. Large floorplans, 9&#39; ceilings, full size washer/dryer in each apartment, central air, fully equipped kitchens, private patios and balconies&nbsp; (on select floorplans), WI-FI&nbsp;in each apartment, new year round&nbsp;hot tub, playground,&nbsp;heated pool, mountain views, beautifully landscaped grounds will make living with us the relaxing and enjoyable experience you have been waiting for. Come see us, and come home today. </p></font>","<table border=""0""><tbody><tr align=""left""><td>Mon-Fri</td><td width=""5"">&nbsp;</td><td valign=""top"">9:00 to 5:30</td></tr><tr align=""left""><td>Saturday</td><td width=""5"">&nbsp;</td><td valign=""top"">10:00 to 4:00</td></tr><tr align=""left""><td>Sunday</td><td width=""5"">&nbsp;</td><td valign=""top"">Closed</td></tr><tr align=""left""><td>Other</td><td width=""5"">&nbsp;</td><td valign=""top"">You may call our staff to set an appointment at any time.</td></tr></tbody></table>","<p>Cats &amp; Dogs (25 lbs &amp; under-breed restricted)<br />Deposit: $300 &amp; $450 (1/2 non-refundable) $20 pet fee (cat) &amp; $35 pet fee (dog)</p><p>&nbsp;</p>","I-70 west, exit Lowell and go north<br />(right). Go west (left) on 52nd Ave. and<br />we are on the right hand side!","Tan_Theme.css",""
78,"08CUO","Monterey Village","2120 North Winery, Suite 102","Fresno","CA","93703","(559)251-3033","(559)251-9302","umspe@comcast.net","","http://www.amcapartments.com/","Inactive","$0.85-1.00 SF","876 SF - 2945 SF","","","<p>We have small business (876 SF) offices through to large business offices (2945 SF) with interior restrooms and kitchen facilities. </p><p>Our property is 10 acres of beautifully landscaped grounds&nbsp;with 25 Professional office&nbsp;buildings. This business community has a wide diversity of businesses from non-profit organizations to law offices. </p><p>We offer Comcast Business for your internet, phones and television needs, nightly security patrols, interior alarm systems, upgraded t-8 lighting, common area restrooms, recycling bins, on-site maintenance and management.</p>","8 am - 4 pm","","Between McKinley and Clinton Avenues, one block east of Chestnut Avenue. We are approximately 5 minutes from both 168 &amp; 180 freeways, just south of the Fresno Yosemite Airport.","Tan_Theme.css",""
86,"97CRY","Crystal Creek AZ","10 East Bell Road","Phoenix","AZ","85022","(602) 863-0202","(602) 863-0722","crystalcreekaz@amcllc.net","crystal creek az.jpg","http://www.crystalcreekazapts.com/","Active","$429 to $729","Studios, 1, & 2 Bedrooms","$299 Move-in with select lease terms.","","Crystal Creek is minutes away from work and play.&nbsp;We offer well-designed and spacious floor plans that have been newly remodeled to satisfy your every need. Take a dip in one of our two sparkling pools or relax in the spa. Our fitness center is open 24 hours for your enjoyment. All apartment homes include washers and dryers, all new full appliance package includes&nbsp;microwaves, and dishwashers.&nbsp; Spacious closets, storage and private patios.","Mon-Fri 9:00 to 6:00 <br />Sat 10:00 to 5:00 <br />Sun 12:00 to 4:00","Pets welcome. Two pets per apartment. Some breed restrictions apply. ","From I-17 north, exit Bell Road East. Continue east just past Central. We are on the north east corner of Central and Bell. From SR-51 north exit on Bell Rd. Go west we are on the northeast corner of Central and Bell Rd.","Blue_Theme.css",""
92,"38SHA","Sweetwater Heights","2160 Century Blvd","Rock Springs","WY","82901","(307) 382-6281","(307) 352-1272","sweetwaterheights@amcllc.net","sweetwaterheights.jpg","http://www.sweetwaterapts.com","Active","$775 - $875","2 Bedrooms 1 Bath","Deposit: $600 (o.a.c)","","Your new home is conveniently located near shopping, entertainment, dining, freeway access and minutes from major employers. Our superb location offers you comfort and quality you&rsquo;re looking for in your new home. Call us today to schedule a personal tour of Sweetwater Heights!","Monday-Wednesday &amp; Friday&nbsp;9:00 to 6:00 <br />Saturday 10:00 to 4:00&nbsp;<br />Thursday&nbsp;- Closed&nbsp;<br />Sunday - Closed","2 pets allowed. non-aggressive breeds only.<br />Pet Fee(up front - non refundable) $300.00<br />Pet Deposit $200.00<br />All apartments <u><strong>with pets </strong></u>- increase of rent each month $40.00 ","I-80, take exit 104 Elk Street. Turn right off the exit ramp. &frac12; mile down the road turn right onto Desert Blvd. Follow Desert until it turns into Century Blvd. We are on the top of the hill on the right hand side. ","Sage_Theme.css",""
105,"39CRW","Buena Vista","4425 S Christopherson","West Valley City","UT","84120","(801) 969-2582","(801) 957-0951","buenavista@amcllc.net","buenavista.jpg","http://www.buenavistaapts.net","Active","$625-$725","2 Bedroom","Come See Our Beautifully Remodeled Interiors!!","","<font face=""Arial"" size=""2""><span style=""font-size: 10pt; font-family: Arial"">Spacious fully remodeled 2-bedroom 1-bath apartment homes in West Valley City. Our apartment homes have plenty of storage!&nbsp; Our large kitchens have 14 cabinets and 4 drawers. There are also 2 generous sized storage closets in the hallways. Each apartment home has 6 oversized windows. Our apartments are nestled around a 4 acre courtyard located in a residential neighborhood. Each living room and kitchen has huge picture windows that look out onto the courtyard and our new playground&mdash;perfect for watching your children play.&nbsp; Prices start at just $625 with a $199 deposit (oac.&nbsp; Buena Vista- A Su Casa community.&nbsp; </span></font>","<p>Monday-Friday 9-5</p><p>Saturday 10-2</p>","We welcome your cats and dogs With no weight restriction. $300 pet deposit and $15 monthly pet rent.","From I-215, exit at 4700 South. Head west to 4000 West. Turn right. Follow to Dean Dr. (4385 South). Turn right. Follow about one block to Buena Vista on your right.","Blue_Theme.css",""
108,"88WDM","Windemere","2020 E. Inverness Ave.","Mesa","AZ","85204","(480) 497-9416","(480) 497-9203","windermere@amcllc.net","windemere.jpg","http://www.windemereamc.com","Active","$599-$930","1 & 2 Bedrooms","WAIVE ALL FEES AND DEPOSITS O.A.C.!!!","","<p>At Windemere in Mesa, Arizona you&rsquo;ll find easy access to major roads, convenient access to ASU and campus activities, PHX Int&rsquo;l Airport, and the East Valley. Shopping, dining and major sporting events are all close by.</p><p>**When one door closes, another one opens...AMC understands foreclosures!!**&nbsp; Call to inquire.</p>","<p>Monday-Friday 9:00 am - 6:00 pm </p><p>Saturday 10:00 am - 5:00 pm</p><p>Sunday 10:00 pm - 5:00 pm</p><p>&nbsp;</p>","<p>80&nbsp;lbs weight limit, limited to 2 pets </p><p>$150 Pet Deposit; $150 Non-Refundable Pet Fee for 1 Pet, $300 Non-Refundable Pet Fee for 2 Pets. (Subject to increase according to size)</p><p>$25 Monthly Pet Rent for 1 Pet, $35 Monthly Pet Rent for 2 Pets or over 50 lbs</p>","Call For Directions!!!","Blue_Theme.css",""
111,"152HCA","Harvard Court","1300 Harvard Way","Reno","NV","89502","(775) 322-5335","","harvardcourt@amcllc.net","harvardcourt.jpg","http://www.harvardcourtapts.com/","Active","from $775","","","","","","","","Tan_Theme.css",""
123,"201LPP","Las Vistas","1010 N 48th Street","Phoenix","AZ","85008","(602)286-6060","(602)273-1871","lasvistas@amcllc.net","lasvistas.jpg","http://www.lasvistasapts.com","Active","$200-$250***","1-2 Bedrooms","**$299.00 Move in and Dramatic reductions in rent.","","Welcome to Las Vistas at Papago Park, a wonderful apartment community with everything you&rsquo;re looking for. Enjoy the maintenance-free living and the sparkling swimming pools. At Las Vistas at Papago Park you&rsquo;re close to all transportation, the&nbsp;shopping and entertainment. With a wide variety of apartment layouts to choose from, there&rsquo;s a perfect home for you at Las Vistas at Papago Park. ","M-F: 9:00 AM - 6:00 PM <br />Sat: 10:00 AM - 5:00 PM <br />Sun: 12:00 PM - 4:00 PM ","Cats <br />Dogs up to 50 pounds&nbsp;","From State Route 143: exit right on McDowell Road. Turn south (right) on 48th Street. Las Vistas at Papago Park will be on your right.","Tan_Theme.css",""
139,"121LOW","The Fairways at Lowry","9913 E 1st Ave","Aurora","CO","80010","(303)341-1931","(303)341-5254","lowryvillage@amcllc.net","lowryvillage.jpg","http://www.lowryvillage.com","Active","From $433-$699","1-2 Bedroom","Newly Remodeled Homes! 1 Month Free!","","The Fairways at Lowry is a lifestyle of quiet living. Within this park-like setting are carefully designed apartments with the privacy of a home. This beautifully landscaped community is only minutes from the golf course and a variety of restaurants, major shopping malls, and other facilities. The many amenities include an outdoor heated pool, laundry facilities, and a fitness center. Come home to the comfort at The Fairways at Lowry.","<p>M-F: 9:00 AM - 6:00 PM <br />Sat: 10:00 AM - 5:00 PM <br />Sun: 12:00 PM - 4:00 PM </p>","<p>Cats are allowed with a pet deposit and monthly pet rent</p>","From I-70: Take the I-225 exit. I-225 to Sixth Avenue west. Havana Street south. First Avenue west. The Fairways at Lowry is on the right.","Tan_Theme.css",""
147,"125LHA","Lowry Heights","8000 E 12th Ave","Denver","CO","80220","(303)329-0503","(303)393-6951","lowryheights@amcllc.net","lowryheights.jpg","http://www.lowryheightsapts.com","Active","$585- $1,150","1-3 Bedrooms","Move in today and get 1/2 April Rent Free!!","","<p>As a resident of Lowry Heights you will experience a luxury lifestyle at an affordable price!!&nbsp; </p><p>You will be amazed at our recently completed renovations through out our community. We offer resort style amenities which include; a&nbsp;Health &amp; Conditioning Center, Private Entertainment Theatre,&nbsp; Executive Technology Center, Tot Lots, Full Indoor Basketball Court, a Junior&nbsp;Olympic Sized Pool, Kids&#39; Pool, and Relaxing Jacuzzi!&nbsp; Call us today to schedule your personal tour of Lowry&#39;s best kept secret!! </p>","<p>Monday-Friday 9am to 6pm</p><p>Saturday 10am to 5pm<br />Sunday 11am to 5pm</p>","<p>Furry family member&#39;s welcome (Breed restrictions apply)</p><p>Deposit: $300 $150 of the pet deposit is fully refundable</p><p>Pet Fee: $25 monthly per pet</p>","<p>North: 1-25 South, I-70 East, Exit Quebec St South, Turn Left on E. 12th ave; E. 12th &amp; Tamarac St</p><p>South: I-25 N Turn right Yale st exit Northbound; turn left on Quebec St; stay on Quebec all the way through Lowry, turn right on east 12th Ave and take down 5 blocks to Tamarac</p><p>East: E Colfax Ave West Bound, turn south on Tamarac St and take up to E. 12th Ave</p><p>West: East bound E Colfax Ave, turn South Bound on Tamarac st and take up to E. 12th Ave.</p>","Sage_Theme.css",""
178,"402NIC","Villa Nicola ","14900 Moorpark Street","Sherman Oaks ","CA","91403","(818)906-1200","(818)906-1221","villanicola@amcllc.net","villanicola.jpg","http://www.villanicolaapts.com/","Active","$1295","1 Bedroom","Available Now!","","LUXURY APARTMENT IN SHERMAN OAKS! FAMILY FORECLOSURE FRIENDLY! 
","","Will consider pet with deposit
","","Blue_Theme.css",""
221,"701MON","Monaco Parc","5930 Arapaho","Dallas","TX","75248","(877) 525-2690","(972) 490-1709","monacoparc@amcllc.net","monacoparc.jpg","http://www.monacoparcapts.com","Active","","","$0.00 Deposit    Reduced Rents","","<p>Welcome Home! Thank you for inquiring about your new 1 or 2 bedroom home at Monaco Parc Apartment Homes! But, before we set up an appointment to view your new home, let me tell you a little about ourselves.</p><p>Located in the prestigious Monaco Parc neighborhood in North Central Dallas and we are truly in one of the finest locations. We are seconds from Addison&rsquo;s famous restaurant row and minutes from the renowned Galleria entertainment shopping district on Arapaho, between the North Dallas Parkway and Preston Road. We are also adjacent to Preston Trail Golf Club and on major public transportation routes.</p><p>Our well established community offers lush mature landscaping, two pools, covered parking, clothes care centers, a fitness center, club house, barbecue areas and much, much more. Your new home will offer updated flooring, appliances, patio/balcony, ceiling fans, storage and more! Some homes offer a fireplace, built-in bookcases and washer/dryer connections among other amenities. Our most proud feature is our 24 hour service with a smile.</p>Call me today at 972-233-2709 and I will be excited to give you more info","<p>Monday-Friday: 9:00am - 6:00pm</p><p>Saturday: 10:00am - 5:00pm</p><p>&nbsp;</p>","<p>$300.00 Pet Deposit</p><p>$150.00 Non-Refundable</p>","<table border=""0"" cellspacing=""0"" cellpadding=""0"" width=""100%"" height=""304""><tbody><tr bgcolor=""#ffffff""><td class=""TableBody"" height=""56"" valign=""top"" style=""height: 56px"">&nbsp;</td><td class=""TableBody"" colspan=""2"" align=""center"" valign=""top"" style=""height: 56px""><span style=""width: 416px; height: 34px""></span><span style=""width: 416px; height: 34px""><p>From the Dallas North Tollway, go East on Arapaho. We&#39;re on the right, just pass the golf course. </p><p>Coming from 635 West exit Preston Rd make a right all the way to Preston to the left, Monaco Parc is the 2nd property on the left.</p><p>Coming 635 East exit Preston make a Left to Preston Monaco Parc to the left.</p></span></td></tr></tbody></table>","Tan_Theme.css",""
118,"72LEV","Le Vail Chateau","3480 S. 300 E.","Salt Lake City","UT","84115","(801) 263-0689","(801) 263-0187","levailchateau@amcllc.net","levailchateau.jpg","http://www.levailchateauapts.com    ","Active","$675 - $695","2 Bedrooms","Only 1 Apartment Left.  Stop By Today!","","<p>Enormous&nbsp;2 Bedroom Apartments&nbsp;with&nbsp;entertainment kitchens, wall to wall closets!&nbsp;&nbsp;&nbsp;Le Vail Chateau is a&nbsp;quaint community&nbsp;waiting for you to move in!</p>","<p>Tues.&nbsp;to Fri. 9-5 Sat. 10-2</p><p>&nbsp;</p><p>&nbsp;</p>","We welcome your pets with just a&nbsp;$300 pet deposit and monthly pet rent&nbsp;of just $35.","<p>I- 15 3300 S head east to 300E turn right (South) 3480 S on the right.&nbsp;&nbsp;The leasing&nbsp;office is located at: 4418 S. 945 E.&nbsp; (In the Holladay on Ninth Apartments leasing office.)</p>","Sage_Theme.css",""
119,"154LOM","Loma Vista","1200 W. Cheyenne Ave.","N. Las Vegas","NV","89030","(702) 657-6238","(702) 657-6252","lomavista@amcllc.net","lomavista.jpg","http://www.lomavistavegas.com/","Active","$539- $999.","1, 2 and three bedrooms","$399 MOVE-IN SPECIAL!!!  WE WILL EXCEED YOUR EXPECTATIONS!","","Surrounded by majestic mountain views to the north, east and west, and the dazzling lights of the Las Vegas strip to the south, this extraordinary residential location provides the ultimate environment for world-class town and country living. ","M-F: 9:00 AM - 6:00 PM Sat: 9:00 AM - 5:00 PM Sun: 9:00 AM - 5:00 PM","$200. Refundable and $200. non-refundable","I-15 To Cheyenne West Exit. Go West Approximately 2.5 Miles, We Will Be On The Right Side.","Tan_Theme.css",""
125,"203SRD","Sandal Ridge","645 N Country Club","Mesa","AZ","85201","(480)962-9171","(480)962-0725","sandalridge@amcllc.net","sandalridge.jpg","http://www.sandalridgeapts.com","Active","$510- $720","Studio - 1-2 Bedrooms","$49 Total mMove In","","Welcome to Sandal Ridge Apartments. Our convenient location puts you exactly where you want to be. We offer our residents the finest in modern amenities, including two pools, a clubhouse, two laundry facilities and a courtesy patrol. With a wide variety of apartment designs, Sandal Ridge Apartments has a living space for every need. Visit Sandal Ridge Apartments today to begin living the lifestyle you deserve. ","M-F: 9:00 AM - 6:00 PM <br />Sat: 10:00 AM - 2:00 PM <br />Sun: Closed ","Pets Allowed: Cats and Dogs under 50 lbs.<br />Pet Restrictions: $250 fee. $150 deposit. Please call about additional pet rent.","From Loop 202: exit Country Club Drive south. Sandal Ridge Apartments is located between Brown Road and University Drive.","Tan_Theme.css",""
127,"116BLF","Bluffs at Castle Rock","483 Scott Blvd","Castle Rock","CO","80104","(303)814-0400","(303)814-0433","bluffsatcastlerock@amcllc.net","bluffsatcastlerock.jpg","http://www.thebluffsatcastlerockapts.com/","Active","$650-$1155","1-3 Bedrooms","Call for the hottest specials in Castle Rock! ","","At the base of majestic Castle Rock and overlooking the beautiful front range, you&rsquo;ll discover the convenience of living at the Bluffs at Castle Rock. Our apartments feature an unbeatable location-just minutes from the cities of Colorado Springs and Denver. You&rsquo;ll enjoy living near endless recreational opportunities and peaceful serenity of a quiet town. Whether you enjoy a relaxing stroll down the nearby hiking and biking trails or an afternoon trip to the factory outlet stores, the Bluffs at Castle Rock provides endless possibilities.&nbsp; ","<p>Mon-Fri 9am- 6pm<br />Saturdays 10am- 5pm<br />Sundays - Closed</p><p>&nbsp;</p>","Pets are Welcome! Two per apartment. Deposit is $200 and a $300 non-refundable fee required. $10 monthly pet rent 1st pet, $5.00 additional for 2nd pet.","Take I-25 South to exit 184/Founders Parkway. Turn left to Front Street and go South. At Scott Boulevard, turn left.","Tan_Theme.css",""
128,"118LDG","Lodge at Aspen Grove","4697 E Louisiana Ave","Denver","CO","80246","(303)758-7753","(303)691-8016","lodgeataspengrove@amcllc.net","lodgeataspengrove.jpg","http://www.thelodgeataspengrove.com","Active","$559-$919","Studio 1-2 Bedrooms","Currently Reduced Rents!! Call Today!! ","","You can have it all at the Lodge at Aspen Grove. Take pleasure in a quiet lifestyle in your spacious and comfortable apartment home with quality features to enhance any style of living. You&rsquo;ll be minutes from downtown and the Cherry Creek shopping district. We have it all...location, convenience and style.","<p>Monday-Friday 9-6 <br />Saturday 10-5&nbsp; Sunday- closed</p>","<p>Up to 2 dogs allowed in selected apartment homes,$300 deposit per pet required. We allow up to two cats, all buildings. $15 pet rent/pet</p>","Call for Directions or see Map. (Colorado Blvd. runs north from I25)","Tan_Theme.css",""
130,"119PIN","Pine Gardens","9200 Elm Court","Federal Heights","CO","80260","(303)428-5068","(303)430-7564","pinegardens@amcllc.net","pinegardens.jpg","http://www.pinegardensapts.com","active","Starting at $700","2-3 Bedrooms","","","A quaint close knit community close to I-25, shopping, a water park, and only minutes from downtown. Pine Gardens has so much to offer, including a new playground area, pool, and a community barbecue area. Stop by soon to see our large floor plans with unbelievable closet space. Make Pine Gardens your new home. ","Monday-Friday: 9:00am to 6:00pm <br />Saturday: 10:00am to 3:00pm <br />Sunday: Closed ","Cats &amp; Dogs OK Call for service animal policy","","Tan_Theme.css",""
132,"155EBA","Emerald Bay","4701 East Sahara Ave.","Las Vegas","NV","89104","(702) 457-5400","(702) 457-6639","emeraldbay@amcllc.net","emeraldbay.jpg","http://www.emeraldbayvegas.com","Active","From $600","1-2 Bedrooms","$99/$299 Move In Special","","Come home to Emerald Bay, where you&rsquo;ll find the apartment that&rsquo;s perfect for you. Take advantage of our fully equipped fitness center or large, modern swimming pool. You will also enjoy the convenience of on-site laundry facilities. Located near shopping, transportation, and entertainment, Emerald Bay is the perfect place for you to call home.","M-F: 8:00 AM - 5:00 PM <br />Sat: 9:00 AM - 5:00 PM <br />Sun: 9:00 PM - 5:00 PM ","Small Dogs - A pet interview is required <br />Pet Restrictions: Two pets per apartment.","Conveniently located between Nellis and Lamb on Sahara.","Sage_Theme.css",""
211,"401CHK","Chase Knolls","13405 Riverside Dr","Sherman Oaks","CA","91423","(818)784-9939","(818)784-7725","leasing@chaseknollsapts.com","chaseknolls.jpg","http://www.chaseknollsapts.com","Active","$1280 - $1880","1 and 2 bedrooms","Specials Change Daily","","<p>ChaseKnolls Apartment Community is one of the best kept secrets in Sherman Oaks.&nbsp; Conveniently located near the Mall, restaurants on Ventura Boulevard, and access to the 101 and 405 freeways, it is like garden oasis in the middle of everything.</p><p>Its renovated retro-style units have glossy hardwood floors, wide crown moulding, 2-tone paint, ceiling fans, wood blinds, and ample closet space with built-ins.&nbsp; The kitchens have vintage stainless steel countertops, new stainless steel appliances, and a kitchen entrance leading to a patio or balcony.</p><p>With 14 acres, we welcome pets.&nbsp; Walking paths, courtyard gardens, and hundred-year-old trees grace the grounds.&nbsp; The community is gated and we offer a courtesy patrol in the evenings.&nbsp; Your parking is controlled access, assigned, and covered.</p><p>We welcome you to visit us and see why many others call Chase Knolls &quot;home&quot;.</p>","<p>Monday through Saturday from 9:00 am to 5:00 pm.</p><p>Sundays&nbsp;by appointment only</p>","PET FRIENDLY! (Usually one pet per home, 50 lbs. &amp; under)<br />* Restricted Breeds:<br />* Doberman Pincher<br />* Rottweiler<br />* American Stafford Terrier<br />* Pit Bull<br />* German Shepherd<br />* Mastiff<br />* Chow Chow<br />* Dalmation<br />* Great Dane","See map.","Sage_Theme.css",""
140,"73MPA","Mulberry Park","5287 Dewberry Ln","Salt Lake City","UT","84118","(801)965-1384","(801)955-0232","mulberrypark@amcllc.net","mulberrypark.jpg","http://www.mulberryparkapts.com","Active","From $980 - $1050","Garden & Townhome","1/2 Month Free Rent on select units!","","Mulberry Park offers a warm neighborhood setting. At Mulberry Park, you&rsquo;ll discover all the comforts and conveniences you expect. Relax in your spacious townhome, savor the landscaping and views, and enjoy a location convenient to shopping, freeways, employers and entertainment! Visit Mulberry Park and find that peaceful retreat you&rsquo;ll want to call home!","Mon-Fri 9:00 to 5:00 Sun-Sat Closed ","<p>Pets Accepted<br />Deposit: $250/$300<br />Breed Restrictions</p><p>Maximum 2 pets</p>","From I-215, take Redwood Road exit. Head south to 5400 south. Turn right. Head west to 3600 west. Turn right. Follow 1/2 block up to 5285 south, turn left. Our clubhouse is ahead on your left.","Blue_Theme.css",""
142,"123VNH","Village at North Hills","11450 Melody Dr","Northglenn","CO","80234","(303)280-5888","(303)280-4558","villageatnorthhills@amcllc.net","villageatnorthhills.jpg","http://www.villageatnorthhillsapts.com","Active","From $780-928","1-2 Bedroom","Look and lease $400-$500 off of your move in total!!!","","Denver&rsquo;s North Metro has a new premier apartment community-The Village at North Hills. With 168 apartment homes, The Village at North Hills offers six distinctive floor plans for one and two bedroom apartments designed to meet the needs of your lifestyle. Equipped with full-size kitchens, spacious living areas and comfortable bedrooms, The Village truly feels like home.","<p>Mon, Tues, Thurs: 9:00-6:00</p><p>Wed, Fri: 10:00-7:00<br />Saturday: 9:00 to 5:00</p><p>Sunday: 1:00-5:00</p>","<p>Cats and Dogs Ok</p><p>Please call for breed and weight restrictions.</p>","Take I-25 to 104th Avenue. Go west on 104th to Huron Street. Take a right on Huron Street going north to 114th Avenue.<br />Take a right on 114th to Melody St. and we are on the left.","Blue_Theme.css",""
120,"57RDA","Rosedown","6500 47th St.","Sacramento","CA","95823","(916) 392-3522","(916) 392-2988","rosedown@amcllc.net","rosedown.jpg","http://www.rosedownapts.com/","Active","From $699-$875","1-2 Bedroom","Specials! Limited availability ","","Welcome to Rosedown. We are a beautiful community centrally located in Sacramento,Ca. Close to work, play, shopping and schools. Our units have lots of natural light with great floor plans. Each unit has its own patio, ceiling fans, central heating and air conditioning. Take a dip in our sparkling pool and enjoy our small park while you BBQ. Work out in our fitness center if you like. You can also plan a party using our club room. We are pet friendly. ","Mon-Fri 10:00 to 5:00","Weight Restriction: 20 lbs.","From Highway 99, take the 47th Avenue East exit. Go 2 blocks to 46th Street and turn right (the entrance is at 6500 46th St.) We are halfway down the block on the left...we&rsquo;ll see you there!","Tan_Theme.css",""
121,"58SOM","Sommerset","591 Peabody Rd.","Vacaville","CA","95687","(707)448-7013","(707)448-7023","sommerset@amcllc.net","sommerset.jpg","http://www.sommersetamc.com","Active","1125-1350","one and two bedrooms","6-12 Months","","Whether your putting on the nearby green or simply melting the day away in the spa, the classic charm of this apartment village seems to put you right where you want to be. Enjoy a barbeque with your loved ones or challenge your neighbor to a game of basketball at the nearby park. Be high style with over 120 premium outlet shops just a stones throw away. Each residence boasts of gracious picture windows, terraces that invite you to enjoy the outdoors, and a considerable amount of wardrobe space. Come explore the Sommerset lifestyle.","<p>Mon.8am-6pm Tues-Wed 8am-5pm Thurs-Fri 8am-6pm Sat 9am-5pm Sun 10am-5pm</p>","Small dogs and cats are allowed. Dogs less than 20 lbs. Cats must be de-clawed. all pets must be spayed/neutered. We welcome a maximum of two indoor pets with an additional deposit and pet rent. ","From East I-80, Exit Peabody, turn right on Peabody. Sommerset Apartment homes is on the left side. From West I-80, Exit Mason Road travel south and turn right on Peabody Road and Sommerset is on the left","Sage_Theme.css",""
133,"37SUR","Sunridge","3900 East 12th Street","Casper","WY","82609","(307) 235-8662","(307) 261-9828","sunridge@amcllc.net","sunridge.jpg","http://www.sunridgeapts.com","Active","$850-$1,700","Two Bedrooms","Flexible Leasing Options Availible","","Sunridge Apartments was created for those who know what they want out of life! Our elegant homes of distinction provide carefree living with personalized service. You’ll be surrounded by natural beauty and vitality. With our central location, you are just minutes from fine dining, shopping and recreation. With features such as a playground and a clubhouse, you’ll be living the good life at Sunridge Apartments. ","M-F: 9:00 AM - 6:00 PM<br> 
Sat: 9:00 AM - 12:00 PM<br> 
Sun: Closed","Cats
Cats must be declawed
All pets must be spayed/neutered","","Tan_Theme.css",""
